candidate,party,votes,percentage,year,region,region_clean,category,source,search_text
David Asibi Ayindenaba Apasera,PNC,966,0.51,2016,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 966 votes, representing 0.51%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,304,0.16,2016,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 304 votes, representing 0.16%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,878,0.46,2016,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 878 votes, representing 0.46%, in Northern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,937,0.49,2016,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 937 votes, representing 0.49%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,286868,41.34,2016,Northern Region,Northern Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 286868 votes, representing 41.34%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,389132,56.08,2016,Northern Region,Northern Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 389132 votes, representing 56.08%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,4577,0.66,2016,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 4577 votes, representing 0.66%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1864,0.27,2016,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 1864 votes, representing 0.27%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,2269,0.33,2016,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 2269 votes, representing 0.33%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,8049,1.16,2016,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 8049 votes, representing 1.16%, in Northern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,337,0.05,2016,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 337 votes, representing 0.05%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,74275,34.58,2016,Volta Region,Oti Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 74275 votes, representing 34.58%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,136257,63.43,2016,Volta Region,Oti Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 136257 votes, representing 63.43%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1012,0.47,2016,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 1012 votes, representing 0.47%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,471,0.22,2016,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 471 votes, representing 0.22%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,978,0.46,2016,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 978 votes, representing 0.46%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1215,0.57,2016,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 1215 votes, representing 0.57%, in Volta Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,437,0.2,2016,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 437 votes, representing 0.2%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,55485,33.36,2016,Northern Region,Savannah Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 55485 votes, representing 33.36%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,106256,63.89,2016,Northern Region,Savannah Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 106256 votes, representing 63.89%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,675,0.41,2016,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 675 votes, representing 0.41%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,603,0.36,2016,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 603 votes, representing 0.36%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,571,0.34,2016,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 571 votes, representing 0.34%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,2244,1.35,2016,Northern Region,Savannah Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 2244 votes, representing 1.35%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,157398,34.93,2016,Upper East Region,Upper East Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 157398 votes, representing 34.93%, in Upper East Region region. The record category is NPP."
John Dramani Mahama,NDC,271796,60.32,2016,Upper East Region,Upper East Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 271796 votes, representing 60.32%, in Upper East Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2565,0.57,2016,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 2565 votes, representing 0.57%, in Upper East Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,6766,1.5,2016,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 6766 votes, representing 1.5%, in Upper East Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,2629,0.58,2016,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 2629 votes, representing 0.58%, in Upper East Region region. The record category is Others."
Bridget Dzogbenuku,PPP,7231,1.6,2016,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 7231 votes, representing 1.6%, in Upper East Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,898,0.2,2016,Upper East Region,Upper East Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 898 votes, representing 0.2%, in Upper East Region region. The record category is Others."
Nana Akufo Addo,NPP,102843,35.94,2016,Upper West Region,Upper West Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 102843 votes, representing 35.94%, in Upper West Region region. The record category is NPP."
John Dramani Mahama,NDC,167032,58.37,2016,Upper West Region,Upper West Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 167032 votes, representing 58.37%, in Upper West Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1451,0.51,2016,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 1451 votes, representing 0.51%, in Upper West Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,4963,1.73,2016,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 4963 votes, representing 1.73%, in Upper West Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,4456,1.56,2016,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 4456 votes, representing 1.56%, in Upper West Region region. The record category is Others."
Bridget Dzogbenuku,PPP,4708,1.65,2016,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 4708 votes, representing 1.65%, in Upper West Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,392,0.14,2016,Upper West Region,Upper West Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 392 votes, representing 0.14%, in Upper West Region region. The record category is Others."
Nana Akufo Addo,NPP,60802,10.81,2016,Volta Region,Volta Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 60802 votes, representing 10.81%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,493141,87.67,2016,Volta Region,Volta Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 493141 votes, representing 87.67%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1584,0.28,2016,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 1584 votes, representing 0.28%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,538,0.1,2016,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 538 votes, representing 0.1%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1143,0.2,2016,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 1143 votes, representing 0.2%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,3878,0.69,2016,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 3878 votes, representing 0.69%, in Volta Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,546,0.1,2016,Volta Region,Volta Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 546 votes, representing 0.1%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,384211,55.83,2016,Western Region,Western Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 384211 votes, representing 55.83%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,285938,41.55,2016,Western Region,Western Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 285938 votes, representing 41.55%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2570,0.37,2016,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 2570 votes, representing 0.37%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,923,0.13,2016,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 923 votes, representing 0.13%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,438,0.06,2016,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 438 votes, representing 0.06%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,12693,1.84,2016,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 12693 votes, representing 1.84%, in Western Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,325,0.05,2016,Western Region,Western Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 325 votes, representing 0.05%, in Western Region region. The record category is Others."
Nana Akufo Addo,NPP,141948,44.86,2016,Western Region,Western North Region,NPP,Ghana_Election_Result.csv,"In 2016, Nana Akufo Addo of NPP received 141948 votes, representing 44.86%, in Western Region region. The record category is NPP."
John Dramani Mahama,NDC,169900,53.7,2016,Western Region,Western North Region,NDC,Ghana_Election_Result.csv,"In 2016, John Dramani Mahama of NDC received 169900 votes, representing 53.7%, in Western Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,526,0.17,2016,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2016, Ivor Kobina Greenstreet of CPP received 526 votes, representing 0.17%, in Western Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,393,0.12,2016,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2016, David Asibi Ayindenaba Apasera of PNC received 393 votes, representing 0.12%, in Western Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,295,0.09,2016,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2016, Alfred Kwame Asiedu Walker of IND received 295 votes, representing 0.09%, in Western Region region. The record category is Others."
Bridget Dzogbenuku,PPP,2950,0.93,2016,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2016, Bridget Dzogbenuku of PPP received 2950 votes, representing 0.93%, in Western Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,189,0.06,2016,Western Region,Western North Region,Others,Ghana_Election_Result.csv,"In 2016, Nana Konadu Agyeman Rawlings of NDP received 189 votes, representing 0.06%, in Western Region region. The record category is Others."
Nana Akufo Addo,NPP,115226,50.78,2012,Brong Ahafo Region,Ahafo Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 115226 votes, representing 50.78%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,109600,48.3,2012,Brong Ahafo Region,Ahafo Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 109600 votes, representing 48.3%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,228,0.1,2012,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 228 votes, representing 0.1%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,174,0.08,2012,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 174 votes, representing 0.08%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,145,0.06,2012,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 145 votes, representing 0.06%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,610,0.27,2012,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 610 votes, representing 0.27%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,782,0.34,2012,Brong Ahafo Region,Ahafo Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 782 votes, representing 0.34%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,1531152,70.86,2012,Ashanti Region,Ashanti Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 1531152 votes, representing 70.86%, in Ashanti Region region. The record category is NPP."
John Dramani Mahama,NDC,612616,28.35,2012,Ashanti Region,Ashanti Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 612616 votes, representing 28.35%, in Ashanti Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1802,0.08,2012,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 1802 votes, representing 0.08%, in Ashanti Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1355,0.06,2012,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1355 votes, representing 0.06%, in Ashanti Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,823,0.04,2012,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 823 votes, representing 0.04%, in Ashanti Region region. The record category is Others."
Bridget Dzogbenuku,PPP,6594,0.31,2012,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 6594 votes, representing 0.31%, in Ashanti Region region. The record category is Others."
Henry Herbert Lartey,GCPP,5483,0.25,2012,Ashanti Region,Ashanti Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 5483 votes, representing 0.25%, in Ashanti Region region. The record category is Others."
Nana Akufo Addo,NPP,216993,52.75,2012,Brong Ahafo Region,Bono Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 216993 votes, representing 52.75%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,189731,46.12,2012,Brong Ahafo Region,Bono Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 189731 votes, representing 46.12%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,517,0.13,2012,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 517 votes, representing 0.13%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,400,0.1,2012,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 400 votes, representing 0.1%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,291,0.07,2012,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 291 votes, representing 0.07%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1710,0.42,2012,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 1710 votes, representing 0.42%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1502,0.37,2012,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1502 votes, representing 0.37%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,137690,38.83,2012,Brong Ahafo Region,Bono East Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 137690 votes, representing 38.83%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,211913,59.76,2012,Brong Ahafo Region,Bono East Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 211913 votes, representing 59.76%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,584,0.16,2012,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 584 votes, representing 0.16%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,595,0.17,2012,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 595 votes, representing 0.17%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,592,0.17,2012,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 592 votes, representing 0.17%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1366,0.39,2012,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 1366 votes, representing 0.39%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1559,0.44,2012,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1559 votes, representing 0.44%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,430135,45.53,2012,Central Region,Central Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 430135 votes, representing 45.53%, in Central Region region. The record category is NPP."
John Dramani Mahama,NDC,492374,52.12,2012,Central Region,Central Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 492374 votes, representing 52.12%, in Central Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1295,0.14,2012,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 1295 votes, representing 0.14%, in Central Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1072,0.11,2012,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1072 votes, representing 0.11%, in Central Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,963,0.1,2012,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 963 votes, representing 0.1%, in Central Region region. The record category is Others."
Bridget Dzogbenuku,PPP,13873,1.47,2012,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 13873 votes, representing 1.47%, in Central Region region. The record category is Others."
Henry Herbert Lartey,GCPP,4258,0.45,2012,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 4258 votes, representing 0.45%, in Central Region region. The record category is Others."
Nana Akufo Addo,NPP,641074,56.3,2012,Eastern Region,Eastern Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 641074 votes, representing 56.3%, in Eastern Region region. The record category is NPP."
John Dramani Mahama,NDC,485187,42.61,2012,Eastern Region,Eastern Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 485187 votes, representing 42.61%, in Eastern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1319,0.12,2012,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 1319 votes, representing 0.12%, in Eastern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1016,0.09,2012,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1016 votes, representing 0.09%, in Eastern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,820,0.07,2012,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 820 votes, representing 0.07%, in Eastern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,4923,0.43,2012,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 4923 votes, representing 0.43%, in Eastern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,3753,0.33,2012,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 3753 votes, representing 0.33%, in Eastern Region region. The record category is Others."
Nana Akufo Addo,NPP,1009787,46.92,2012,Greater Accra Region,Greater Accra Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 1009787 votes, representing 46.92%, in Greater Accra Region region. The record category is NPP."
John Dramani Mahama,NDC,1125751,52.31,2012,Greater Accra Region,Greater Accra Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 1125751 votes, representing 52.31%, in Greater Accra Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2578,0.12,2012,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 2578 votes, representing 0.12%, in Greater Accra Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1071,0.05,2012,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1071 votes, representing 0.05%, in Greater Accra Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,835,0.04,2012,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 835 votes, representing 0.04%, in Greater Accra Region region. The record category is Others."
Bridget Dzogbenuku,PPP,9532,0.44,2012,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 9532 votes, representing 0.44%, in Greater Accra Region region. The record category is Others."
Henry Herbert Lartey,GCPP,2276,0.11,2012,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 2276 votes, representing 0.11%, in Greater Accra Region region. The record category is Others."
Nana Akufo Addo,NPP,73384,44.86,2012,Northern Region,North East Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 73384 votes, representing 44.86%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,85283,52.13,2012,Northern Region,North East Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 85283 votes, representing 52.13%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,581,0.36,2012,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 581 votes, representing 0.36%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1481,0.91,2012,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1481 votes, representing 0.91%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,602,0.37,2012,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 602 votes, representing 0.37%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,769,0.47,2012,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 769 votes, representing 0.47%, in Northern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,1061,0.65,2012,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2012, Henry Herbert Lartey of GCPP received 1061 votes, representing 0.65%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,255454,38.78,2012,Northern Region,Northern Region,NPP,Ghana_Election_Result.csv,"In 2012, Nana Akufo Addo of NPP received 255454 votes, representing 38.78%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,385906,58.59,2012,Northern Region,Northern Region,NDC,Ghana_Election_Result.csv,"In 2012, John Dramani Mahama of NDC received 385906 votes, representing 58.59%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,2765,0.42,2012,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2012, Ivor Kobina Greenstreet of CPP received 2765 votes, representing 0.42%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1404,0.21,2012,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2012, David Asibi Ayindenaba Apasera of PNC received 1404 votes, representing 0.21%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,2128,0.32,2012,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2012, Alfred Kwame Asiedu Walker of IND received 2128 votes, representing 0.32%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,5798,0.88,2012,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2012, Bridget Dzogbenuku of PPP received 5798 votes, representing 0.88%, in Northern Region region. The record category is Others."
